State   County  Year    UFOSightingCount   Population_Density   Housing_Density
Florida  volusia  2006  4  449.2  230.9
Kansas  miami  2001  1  57.0  22.9
Tennessee  marshall  1994  2  71.3  29.8
Alabama  lauderdale  2003  1  138.8  65.6
Wisconsin  marathon  2009  2  86.8  37.4
New York  niagara  2004  1  414.4  189.8
South Carolina  pickens  2000  1  222.9  92.6
Ohio  wood  2007  7  203.3  86.5
Oregon  benton  2010  2  126.6  53.6
Montana  toole  2004  1  2.8  1.2
Kentucky  hopkins  2008  1  86.6  39.1
Utah  salt lake  2006  4  1387.1  490.4
Illinois  jo daviess  1998  1  37.1  20.0
New York  westchester  2005  7  2204.7  861.4
Tennessee  white  2006  1  68.6  30.6
Ohio  van wert  2007  1  70.3  30.8
North Carolina  caldwell  2009  1  176.1  79.9
California  monterey  2006  5  126.5  42.4
California  ventura  2004  10  446.7  152.8
Utah  sevier  2002  1  10.9  4.4
New York  sullivan  1994  1  76.3  46.1
Virginia  washington  1992  1  90.8  40.8
Wisconsin  marinette  2001  2  29.8  21.7
North Carolina  cabarrus  2009  1  492.1  198.9
New Jersey  mercer  2003  1  1632.2  637.6
Missouri  polk  2004  5  49.0  20.9
Minnesota  hennepin  2006  8  2081.7  920.3
Michigan  eaton  2009  3  187.4  81.8
Wisconsin  walworth  2001  1  184.2  92.8
Texas  crockett  2009  1  1.3  0.7
Illinois  bureau  1995  1  40.9  17.7
Wisconsin  crawford  2001  2  29.2  15.4
New Jersey  monmouth  1999  3  1303.8  510.4
California  santa barbara  2003  12  155.0  55.9
Texas  el paso  2000  1  670.8  221.5
Colorado  morgan  2004  1  22.0  9.0
Wisconsin  shawano  2000  1  45.6  20.5
Massachusetts  bristol  2000  3  961.7  390.1
Virginia  prince george  2003  1  134.7  45.5
Georgia  chatham  1996  1  529.7  227.5
Iowa  jackson  2003  1  31.2  14.8
Vermont  orange  2009  1  42.1  21.6
Tennessee  humphreys  2003  1  34.9  16.7
Ohio  seneca  2010  2  103.0  43.8
Massachusetts  plymouth  2005  4  750.9  303.7
Florida  leon  2003  2  413.1  186.2
Maine  cumberland  1997  1  317.9  146.7
Missouri  lincoln  1997  1  61.8  24.6
Colorado  mesa  2006  1  44.1  18.8
Missouri  clay  1999  2  464.3  192.3
Arkansas  randolph  2006  1  27.6  13.1
Wisconsin  oconto  2001  1  37.7  23.6
Massachusetts  barnstable  1994  1  561.9  371.9
Texas  dickens  1999  1  3.1  1.5
Idaho  nez perce  2004  1  46.3  20.6
Idaho  canyon  1998  1  222.9  81.3
New York  clinton  2005  1  79.1  34.6
Texas  smith  2000  2  188.2  77.2
Texas  brazoria  2009  1  230.7  87.2
Indiana  vanderburgh  1994  1  732.9  325.3
Texas  bexar  2003  2  1383.1  534.7
California  marin  2009  7  485.1  213.7
Ohio  columbiana  1999  2  210.5  86.5
Rhode Island  washington  2007  6  385.7  188.9
Michigan  lenawee  2009  1  133.3  58.0
Missouri  texas  2000  1  19.5  9.1
Texas  dallas  1999  5  2522.6  971.0
Kansas  shawnee  2008  2  327.1  145.5
Maine  york  1999  2  188.5  95.1
New Mexico  socorro  2004  1  2.7  1.2
Ohio  lawrence  2010  1  137.7  60.9
Alabama  cherokee  1992  1  43.4  25.4
New Mexico  santa fe  2002  3  75.5  37.3
Washington  spokane  2006  5  267.2  114.2
Kansas  osage  1998  1  23.8  10.0
Indiana  wayne  1998  2  176.2  75.5
Illinois  ogle  2009  1  70.5  29.7
California  alameda  1995  4  1957.4  732.4
Michigan  oakland  1993  2  1368.6  563.9
Georgia  franklin  2003  1  84.5  40.4
Missouri  jefferson  2010  3  333.1  133.4
Maryland  somerset  2010  1  82.8  34.8
Kansas  lyon  1998  1  42.2  17.3
Illinois  macon  2007  1  190.8  86.9
Indiana  clark  2006  3  295.6  128.1
Kentucky  kenton  2008  2  996.7  430.4
Illinois  greene  2000  2  27.2  11.7
Illinois  montgomery  2007  1  42.8  18.6
North Carolina  mecklenburg  1997  4  1321.5  556.3
Alabama  shelby  1999  5  180.3  74.6
Oregon  lane  2001  12  77.2  34.3
Nebraska  lancaster  2008  5  340.8  144.3
Michigan  shiawassee  1997  1  133.1  54.0
California  calaveras  2005  6  44.7  27.4
North Carolina  union  2008  2  318.7  115.4
Hawaii  kauai  2006  3  108.2  48.1
Alabama  mobile  2006  1  335.9  144.9
Colorado  grand  2002  2  8.0  8.7
Florida  lake  1998  4  220.9  107.9
Nebraska  sarpy  2004  12  664.6  259.2
Illinois  dekalb  1998  1  140.3  52.0
Washington  lincoln  2005  1  4.6  2.5
Tennessee  davidson  2010  6  1243.3  563.4
North Carolina  wilkes  2006  1  91.9  43.8
Alabama  coosa  1999  1  18.7  9.4
Maine  hancock  2000  1  32.6  21.4
Oregon  josephine  2007  1  50.4  23.2
West Virginia  fayette  2008  1  69.6  32.7
California  san joaquin  1993  2  402.8  135.2
Kansas  allen  2003  1  26.7  12.4
Tennessee  knox  2004  10  850.5  383.6
Missouri  taney  2010  3  81.7  46.3
New York  jefferson  2002  2  91.6  45.7
Texas  grayson  2007  2  129.6  57.6
Michigan  newaygo  2008  1  59.6  30.8
Texas  stonewall  2009  1  1.6  1.0
West Virginia  summers  2009  1  38.6  21.3
Michigan  iron  1998  1  11.3  7.5
Kentucky  boyle  2001  1  157.8  68.3
Florida  alachua  2004  3  282.7  128.9
Massachusetts  norfolk  1997  1  1627.5  638.6
Oregon  polk  2002  1  101.8  40.9
Utah  uintah  1998  1  5.6  2.0
Georgia  dekalb  2007  5  2585.7  1139.7
Michigan  kalamazoo  1998  4  424.7  176.6
Ohio  portage  2002  3  331.2  138.4
Kentucky  knott  2009  2  46.5  21.2
North Carolina  henderson  2007  2  286.1  146.6
New Mexico  de baca  2002  2  0.9  0.6
Wyoming  converse  2008  1  3.3  1.5
New York  new york  2009  38  69468.4  37106.4
Wyoming  albany  1999  1  7.5  3.6
South Dakota  todd  2010  1  6.9  2.3
Indiana  hamilton  2005  5  696.4  270.8
Alabama  lauderdale  2010  2  138.8  65.6
Pennsylvania  blair  2005  1  241.7  107.0
Missouri  ray  2009  1  41.3  17.6
Ohio  licking  1999  2  211.9  85.6
South Carolina  berkeley  2001  1  161.8  66.8
Oregon  benton  2001  4  126.6  53.6
North Carolina  avery  2005  1  72.0  56.2
Alabama  elmore  2005  1  128.2  52.8
Washington  clallam  1999  2  37.1  17.6
Michigan  jackson  2006  3  228.4  99.0
Arkansas  benton  2005  6  261.2  109.9
Indiana  steuben  2007  2  110.7  62.7
New York  tompkins  2002  1  214.0  87.8
Illinois  jo daviess  2009  1  37.7  22.6
New Mexico  san miguel  2002  1  6.2  3.3
Washington  benton  1995  1  83.7  32.9
Texas  tom green  2006  1  72.4  30.6
California  stanislaus  1997  2  299.2  101.0
Mississippi  warren  2001  2  82.9  37.2
California  ventura  1997  4  408.2  136.4
Pennsylvania  dauphin  2003  1  510.6  229.3
Florida  polk  2000  3  258.2  120.8
Ohio  tuscarawas  2008  1  163.1  70.8
Wisconsin  marquette  1998  1  34.8  19.0
Wisconsin  bayfield  2010  1  10.2  8.8
Indiana  vigo  2004  7  267.4  114.1
Tennessee  dyer  2010  1  74.8  32.6
New Jersey  mercer  2010  3  1632.2  637.6
West Virginia  ritchie  2001  1  23.1  12.9
Pennsylvania  susquehanna  2008  3  52.7  27.9
California  santa barbara  2010  6  155.0  55.9
Mississippi  lafayette  1998  1  61.4  26.3
Wyoming  hot springs  2008  1  2.4  1.3
South Carolina  beaufort  2001  1  281.5  161.4
South Carolina  horry  2010  6  237.5  164.0
Pennsylvania  lawrence  2002  1  254.4  114.4
Texas  live oak  2009  1  11.1  5.8
Oregon  tillamook  2003  1  22.9  16.7
Oregon  jackson  1997  1  65.1  27.2
Arkansas  crittenden  2000  1  83.4  33.6
Texas  gillespie  1996  1  19.6  9.3
California  solano  2006  7  503.0  185.8
Indiana  grant  1993  1  177.3  73.8
Illinois  knox  1998  1  78.0  33.1
Maine  androscoggin  2003  1  230.2  104.9
Connecticut  litchfield  2010  3  206.3  95.1
Arkansas  carroll  1999  1  40.2  18.8
Michigan  mason  2009  1  58.0  34.9
Florida  leon  1994  1  359.1  155.9
Massachusetts  plymouth  1998  1  715.5  274.7
Kansas  harper  2009  1  7.5  3.9
Indiana  tippecanoe  2004  6  345.7  142.2
Missouri  clay  2006  2  558.6  236.4
Texas  wichita  1997  1  209.8  84.9
Florida  duval  1997  1  1006.7  426.3
North Carolina  rowan  1996  1  254.9  105.6
New Hampshire  merrimack  1998  1  145.8  60.2
Maine  oxford  2003  2  27.8  17.4
Texas  brazoria  2000  2  174.4  65.4
Virginia  shenandoah  2009  1  82.5  41.0
Georgia  clayton  2001  1  1832.5  739.6
Missouri  boone  2008  6  237.3  101.5
Montana  missoula  2005  1  42.1  19.3
West Virginia  roane  2007  1  30.9  15.2
Florida  sarasota  2003  2  682.6  410.9
Kansas  wyandotte  2000  1  1042.9  435.2
Illinois  mclean  2009  4  143.3  58.9
Pennsylvania  northampton  2000  1  714.5  285.5
Maine  york  2004  2  199.0  106.8
Idaho  kootenai  2010  1  111.3  50.8
Kentucky  boone  2001  1  482.3  187.3
Florida  manatee  2000  5  356.3  186.4
Kansas  osage  2009  1  23.1  10.6
Pennsylvania  monroe  2004  2  279.2  132.1
Pennsylvania  lehigh  2008  5  1012.5  413.2
Colorado  la plata  1997  1  26.0  12.3
Missouri  jefferson  2005  2  333.1  133.4
Washington  douglas  1997  1  17.9  7.1
New Jersey  union  1999  2  5059.0  1868.0
Minnesota  scott  2008  1  364.5  132.2
Arizona  yavapai  2000  19  20.6  10.1
California  santa cruz  2001  3  589.4  234.7
New York  ontario  2008  3  167.6  74.8
Ohio  belmont  2006  2  132.3  61.0
Oklahoma  pontotoc  1999  2  48.8  21.6
Missouri  bates  2005  1  20.4  9.4
New Jersey  camden  1999  3  2289.4  898.2
Tennessee  hamblen  2001  1  388.0  167.3
Washington  san juan  2007  1  90.7  76.5
Utah  san juan  2007  2  1.9  0.7
Montana  sweet grass  2005  1  2.0  1.2
Iowa  johnson  1999  5  180.7  74.6
Nebraska  lancaster  2001  2  340.8  144.3
Georgia  fayette  2001  1  548.3  209.9
Ohio  athens  1999  1  122.8  49.1
Alabama  mobile  1997  1  324.3  133.9
North Carolina  guilford  2007  4  756.4  337.6
Kentucky  breathitt  2003  1  28.2  12.7
Pennsylvania  luzerne  2001  2  360.4  167.1
Florida  lake  2007  2  316.6  154.5
Tennessee  polk  2003  1  38.7  18.4
North Carolina  new hanover  1992  1  805.8  400.2
Tennessee  davidson  2003  7  1243.3  563.4
Missouri  washington  2005  1  33.2  14.5
Pennsylvania  pike  2006  1  105.3  70.4
Minnesota  carver  2002  1  256.9  97.5
Texas  brazos  2005  3  332.8  132.7
North Carolina  davie  2003  1  156.1  69.1
Missouri  oregon  2006  1  13.8  6.9
Montana  roosevelt  1997  1  4.5  1.7
Connecticut  tolland  2007  2  372.2  141.3
Minnesota  olmsted  1995  1  190.3  75.7
Utah  grand  1999  1  2.3  1.1
New Hampshire  carroll  1999  1  46.8  37.2
Indiana  monroe  2003  2  349.7  149.8
Georgia  cherokee  2006  3  508.3  195.3
Florida  sumter  2008  3  170.8  97.0
Kentucky  madison  1998  1  160.8  67.2
Iowa  pottawattamie  2008  1  98.0  41.4
Kansas  saline  2009  1  77.2  33.5
Oregon  douglas  2004  2  21.4  9.7
Virginia  amherst  2005  1  68.3  29.5
Maryland  frederick  2006  1  353.5  136.5
Ohio  portage  1995  2  308.8  122.0
California  el dorado  1998  2  91.4  41.7
Texas  nolan  2000  1  17.3  7.8
California  inyo  1992  1  1.8  0.9
Michigan  kalamazoo  2007  4  445.7  195.9
Kentucky  greenup  2005  2  107.2  47.4
New York  new york  2006  31  69468.4  37106.4
South Carolina  richland  2004  1  507.9  213.6
California  mono  1999  2  4.2  3.9
Arkansas  van buren  2007  1  24.4  14.6
California  contra costa  2000  8  1317.9  492.5
Michigan  gratiot  2001  1  74.7  28.7
Tennessee  marshall  2008  1  81.5  34.9
Wisconsin  dane  2003  4  407.7  180.4
Wisconsin  fond du lac  2008  1  141.2  61.0
Tennessee  weakley  2001  1  60.3  26.7
Texas  hidalgo  2009  4  493.2  158.1
South Carolina  berkeley  2010  1  161.8  66.8
Michigan  cheboygan  2003  3  36.6  25.6
Washington  pierce  2006  8  476.3  194.9
Michigan  monroe  2005  2  276.7  114.6
New York  westchester  1995  1  2133.6  807.4
New Hampshire  belknap  2005  14  150.1  93.4
Michigan  lapeer  2006  4  137.4  56.5
Georgia  mcduffie  1995  1  81.7  34.3
California  stanislaus  2004  6  344.2  120.1
Pennsylvania  bucks  1995  1  984.0  371.3
Washington  kitsap  2001  43  635.9  271.9
New York  tioga  2000  1  99.8  41.3
Ohio  trumbull  1995  1  365.2  154.3
Mississippi  amite  2008  1  18.0  9.1
North Carolina  buncombe  2007  6  362.9  172.6
Missouri  dallas  2004  1  31.0  14.2
California  fresno  2002  4  156.2  53.0
Minnesota  rice  1999  1  113.9  40.3
Indiana  vigo  1997  1  262.5  112.1
New Jersey  mercer  1997  2  1552.5  589.9
Arizona  gila  2007  2  11.3  6.9
California  yuba  2008  1  114.2  43.7
Arkansas  pope  2006  1  76.0  31.4
Rhode Island  providence  2003  1  1530.3  646.7
North Carolina  alamance  2007  1  356.5  157.0
Tennessee  cumberland  2006  1  82.3  41.3
Wyoming  hot springs  2003  1  2.4  1.3
South Carolina  horry  2005  10  237.5  164.0
Georgia  murray  1999  1  106.0  41.6
Texas  wood  2010  1  65.0  32.3
Oregon  jackson  2010  3  73.0  32.7
Montana  lake  2004  1  19.3  11.1
Illinois  knox  2009  2  73.9  33.6
Connecticut  litchfield  2001  1  206.3  95.1
Maryland  garrett  2000  1  46.1  25.9
Michigan  genesee  2004  4  668.5  301.7
Massachusetts  plymouth  1991  1  715.5  274.7
Texas  wise  2000  1  53.9  21.3
Missouri  clay  2009  1  558.6  236.4
North Carolina  cumberland  1999  1  464.2  181.4
Florida  suwannee  2008  1  60.3  27.8
Massachusetts  barnstable  2004  1  548.3  407.1
New Jersey  hudson  2000  1  13043.6  5153.8
Minnesota  becker  2003  1  24.7  14.3
