year,Number of sci_fi movies released,Number of ufo sightings, Possibility of ufo_sighting being a dillusion after a sci-fi movie being released?
1948,4,10,No
1949,4,16,No
1942,5,5,Yes
1943,2,8,No
1941,5,3,Yes
1946,3,11,No
1947,3,39,No
1944,3,12,No
1945,5,12,No
2010,34,2735,No
1955,14,38,No
1954,14,52,No
1957,31,74,No
1956,20,42,No
1951,15,22,Yes
1950,7,28,No
1953,20,35,Yes
1952,8,52,No
1959,28,51,Yes
1958,32,45,Yes
1920,5,2,Yes
1922,1,1,Yes
1925,5,1,Yes
1929,3,1,Yes
1933,6,1,Yes
1931,3,2,Yes
1930,3,2,Yes
1937,2,2,Yes
1936,8,3,Yes
1935,6,1,Yes
1934,5,1,Yes
1939,5,2,Yes
1986,32,195,No
1987,28,219,No
1984,33,188,No
1985,28,205,No
1982,34,191,No
1983,35,150,No
1980,22,236,No
1981,22,156,No
1988,27,224,No
1989,35,248,No
1991,26,233,No
1990,33,253,No
1993,24,326,No
1992,21,258,No
1995,32,1391,No
1994,21,422,No
1997,21,1325,No
1996,21,936,No
1999,24,3043,No
1998,22,1933,No
1968,14,209,No
1969,19,153,No
1964,13,83,No
1965,24,177,No
1966,19,186,No
1967,16,194,No
1960,18,67,No
1961,20,44,No
1962,15,59,No
1963,14,79,No
1979,33,245,No
1978,19,337,No
1977,26,260,No
1976,11,272,No
1975,23,305,No
1974,19,266,No
1973,17,220,No
1972,19,172,No
1971,14,122,No
1970,15,142,No
2002,36,3599,No
2003,28,4333,No
2000,19,2992,No
2001,23,3428,No
2006,34,4035,No
2007,26,4518,No
2004,34,4650,No
2005,30,4393,No
2008,31,5080,No
2009,39,4735,No
