DateOfSighting	DateOfReport	Location	Shape	Duration	Description
 271750Z 	271850Z Nov 81	 Indoors.    	"One bright light, yellow and White."	20 Mins. 	Seen  West of Aldershot.    
19820106	19820114	Indoors	round 	6 mins	object shining very brightly
12 Jan 82 17502 	12-Jan-82	In moving car and parked	" One,'red and White flashing lights, very bright, no shape.     "	Approx 3 mins 	
1207002 DEC 		OUTSIDE IN STREET     	" DOME ORANGE SHAPE,  VERY BRIGHT        "	5 - 10 Mins 	Seen LEICESTER 
19850123	19850123	NEWPORT		5 minutes	
021830Z DEC 81 	3-Dec-81	Garden terrace.    	One horizontal shaped beaming yellow light.     	Continuous for sev eral hours . 	Seen via Naked eye. West over CroydonVClapham.     
14005 MAY 84	140005 MAY 84	GOUROCK NEAR GREENROCK	PULSATING	5 TO 10 MINS	Seen by TELESCOPE BUT COULD BE SEEN BY NAKED EYE
19840930		"TO left of  staplehurst, south to south east"	light	2 mins	large object with four bright lights  looking up from car about 30 degrees approx 2 miles aways
O9194OA Sep 84 	2000 hrs 9 Sep 84	Looking out of balcony window. Indoor.     	"Like a round ball at first, then like an upturned cup without handle. Oblong. Silver with very bright deep red light.  "	30 to 40 seconds. ' .	Seen by Naked eye. Coming away from the City and moving towards East London.     
19840926		kirkcaldy	light	1 hour	"red flashing light, no noise from bedroom window at largoward"
302200 NOV ' 	302220 NOV	LOOKING OUT OF BEDROOM WINDOW	"VERY LARGE BRIGHT OBJECT, PYRAMID SHAPE     "	10 MINS DURATION 	
19820111	19820114	Garden	elliptcial shaped	10 secs	six-seven saucer sahped windows
17 Mar 85 1935 hrs 	17 Mar 85 1940 hrs	3rd Floor of Block of Flai Indoors. Sitting down and Standing up.	" light. Bright, mixture colours   "	10 minute intervals.	"Seen by Binoculars. Hovering above Wembley Stadium, and in the area. around Wembley.     "
241645Z Nov 84 	251125Z Nov 84	"Facing.east. Mobbsberry Way/ Fairlands Way, Stevenage. Outdoors"	"Started as one light, split into "	4 mins 	Seen by Naked Eye. Moving SE to NW
18300205	19500216	Fairview Pengam	3 sets of bright light	6-7 minutes	Observed by naked eye. Moving southerly
232020A Oct 	252105A Oct 84	"Outdoors. In car. Vary, F3 Entering Rushton on A&5"	Row of Red and White Lights	20 Seconds 	Seen by Naked Eye. East to West
