Year	OneD	TwoD	ThreeDOrObject	Unknown
1995	336	14	6	93
1994	75	0	5	61
1993	62	1	4	52
1990	54	0	2	52
1979	42	0	3	39
1972	33	0	1	25
1987	52	0	4	38
1986	35	0	2	35
1957	12	0	0	5
1980	43	0	6	39
1992	43	1	5	41
1989	35	0	7	46
1996	300	5	9	78
1997	372	0	12	201
1983	15	0	2	26
1965	31	0	7	17
1982	38	1	2	21
1971	15	0	0	10
1988	33	0	4	37
1974	42	0	1	37
1964	19	0	0	11
1991	51	0	6	39
1985	33	1	5	34
1978	55	0	3	45
1977	40	0	3	27
1967	35	0	0	28
1970	28	0	4	22
1975	51	0	1	34
1961	7	0	1	3
1963	10	0	0	16
1973	28	0	1	20
1998	429	0	30	237
1981	28	0	1	28
1953	6	0	0	3
1969	26	0	1	28
1954	7	0	0	7
1984	44	2	6	32
1956	8	0	0	7
1966	25	0	3	28
1943	3	1	1	1
1958	7	0	0	5
1976	46	1	3	32
1968	29	0	3	21
1962	7	0	0	10
1947	4	1	0	6
1960	8	0	0	14
1955	9	0	2	0
1952	4	0	1	7
1999	706	2	50	463
1949	4	0	0	2
1950	4	0	0	3
1959	12	0	1	11
1948	1	0	0	1
2000	732	0	51	456
1951	0	0	0	1
2001	870	1	52	493
1946	0	1	0	0
1930	1	0	1	1
1942	1	0	0	2
2002	894	5	63	554
1910	0	0	0	1
1937	1	0	0	0
2003	1160	2	75	711
1906	0	0	0	1
1935	1	0	0	0
1920	0	0	0	1
1941	1	0	0	1
2004	1267	3	70	753
2005	1191	4	47	727
1922	0	0	0	1
1933	1	0	0	0
2006	1000	1	49	642
1762	1	0	0	0
2007	1206	0	36	686
1914	0	0	0	1
2008	1298	1	66	753
2009	1415	2	52	688
1864	0	0	0	1
1871	0	0	1	0
2010	790	1	11	381
1830	2	0	0	0
1938	1	0	0	0
