Year	Secs	Minutes	Hours	Days	StillThere	NoDuration
1995	47	83	63	2	58	291
1994	24	80	7	0	42	23
1993	13	60	2	1	41	11
1990	11	46	6	0	28	8
1979	11	58	0	1	25	3
1972	12	28	5	1	36	2
1987	11	36	5	0	36	7
1986	9	32	5	0	18	10
1957	1	12	2	1	7	7
1980	7	34	4	0	32	6
1992	13	38	3	0	35	9
1989	19	39	3	1	26	4
1996	48	97	15	0	74	95
1997	130	187	24	2	137	46
1983	10	24	0	1	19	4
1965	5	21	3	1	25	5
1982	1	34	3	1	20	11
1971	6	18	2	0	9	0
1988	8	37	0	0	25	6
1974	10	41	9	0	41	4
1964	2	15	0	0	8	2
1991	17	43	7	1	27	6
1985	7	32	7	0	28	11
1978	11	59	3	1	43	8
1977	13	44	3	0	27	9
1967	5	40	1	0	27	2
1970	7	26	3	0	22	6
1975	10	52	6	2	34	9
1961	1	7	0	2	10	0
1963	0	11	3	1	15	2
1973	6	34	7	0	39	6
1998	224	260	30	3	183	57
1981	7	28	2	0	28	5
1953	4	4	0	0	1	1
1969	7	23	1	0	21	4
1954	4	12	0	0	7	1
1984	9	44	3	1	30	14
1956	1	8	1	1	8	1
1966	10	28	5	1	30	9
1943	0	3	0	0	1	2
1958	3	7	0	1	10	0
1976	13	49	3	3	34	6
1968	5	33	4	0	37	1
1962	3	8	0	0	4	2
1947	0	6	1	0	7	3
1960	5	10	3	0	8	2
1955	3	3	2	0	5	3
1952	2	8	3	0	8	4
1999	355	459	45	3	300	98
1949	1	4	1	0	2	0
1950	2	7	1	0	2	2
1860	0	1	0	0	0	0
1959	1	7	2	0	6	2
1948	2	1	0	0	1	0
2000	298	415	44	2	363	97
1951	2	2	0	0	4	0
1945	1	0	0	2	4	1
1944	0	1	0	0	6	0
2001	280	494	45	5	422	155
1936	0	1	0	0	1	0
1946	1	0	0	0	1	1
1930	0	0	0	0	0	1
1942	1	2	0	1	1	0
2002	302	447	50	6	425	186
1910	0	1	0	0	1	0
1937	0	0	0	0	0	0
1929	0	1	0	0	0	0
2003	336	512	58	7	535	154
1906	0	0	0	0	1	0
1935	0	0	0	0	0	1
1920	0	0	0	0	0	1
1865	0	0	0	0	0	1
1941	0	0	0	0	0	0
2004	345	607	42	7	598	177
1916	0	0	0	0	0	0
1939	0	0	0	0	0	0
1931	0	1	0	0	0	0
2005	314	531	45	6	516	131
1922	0	0	0	0	0	1
1933	0	0	0	0	0	0
1897	0	0	0	0	0	1
1925	0	0	0	0	0	0
1896	0	0	0	0	1	0
2006	290	474	59	8	500	176
1899	0	0	0	0	1	0
1762	0	0	0	0	0	0
1880	0	0	0	0	1	0
2007	328	505	53	7	554	144
1914	0	0	0	0	0	1
1400	0	0	0	0	0	1
1790	0	0	0	0	0	0
2008	394	555	50	7	534	169
1934	0	0	0	0	0	0
1901	0	0	0	0	0	0
2009	261	535	57	10	572	127
1864	0	0	0	0	1	0
1871	0	0	0	0	1	0
2010	132	302	35	5	351	78
1905	0	0	0	0	0	0
1830	0	2	0	0	0	0
1900	0	0	0	0	0	1
2012	0	0	0	0	0	0
1938	0	0	0	0	0	1
