Year	No of sightings	No of sci-fi movies released
2003	4333	28
1947	39	3
1988	224	27
1986	195	32
1987	219	28
1984	188	33
1985	205	28
1968	209	14
1969	153	19
1980	236	22
1981	156	22
1942	5	5
1965	177	24
1966	186	19
1967	194	16
1960	67	18
1961	44	20
1962	59	15
1963	79	14
2010	2735	34
1978	337	19
2005	4393	30
1948	10	4
1955	38	14
1860	3043	24
1957	74	31
1964	83	13
1983	150	35
1953	35	20
1952	52	8
1982	191	34
1959	51	28
1994	422	21
1991	233	26
1990	253	33
1993	326	24
1992	258	21
1995	1391	32
1997	1325	21
1979	245	33
1996	936	21
1999	3043	24
1976	272	11
1975	305	23
1974	266	19
1973	220	17
1972	172	19
1971	122	14
1970	142	15
2002	3599	36
1977	260	26
2000	2992	19
2001	3428	23
2006	4035	34
2007	4518	26
2004	4650	34
1998	1933	22
1954	52	14
2008	5080	31
2009	4735	39
1950	28	7
