2009-03-11 20:23:34		Young Hollow Road, Pueblo County, Colorado, United States of America				38.4945	 -104.68633333333334														1193_submitter_file2__fullmoon.jpg	missile	a plane flying in the sky over a building .
																					2037_submitter_file1__NadiaBaileyPhotographInvestigation.jpg	lakeside, lakeshore	a bench sitting in the middle of a lake .
																					2037_submitter_file2__File0043BaileyPhoto2.jpg	lakeside, lakeshore	a view of a lake with a mountain in the background .
																					2763_submitter_file1__UFO_2.JPGGaryleeHughes2763.JPG	envelope	a white and black and white photo of a blue and white surfboard
																					2763_submitter_file2__UFO_2.JPGGaryHughes.JPG	envelope	a white and black and white photo of a blue and white surfboard
																					2763_submitter_file3__GaryleeHughes2763-Form-8.jpg	menu	a black and white photo of a sign on a wall
																					2763_submitter_file4__GaryleeHughes-2763-Map.jpg	binder, ring-binder	a flock of birds sitting on top of a power line .
																					2838_submitter_file1__anomoly.JPG	alp	a horse grazing on a lush green hillside .
																					3239_submitter_file1__p1010004.jpg	street sign	a group of people standing on top of a lush green field .
																					3239_submitter_file2__p1010005.jpg	water tower	a large building with a clock tower in the background .
																					3500_submitter_file1__SummerSolsticeUFO.JPG	flagpole, flagstaff	a red stop sign sitting on the side of a road .
																					3507_submitter_file1__123-and-composite.jpg	web site, website, internet site, site	a black and white photo of a white toilet
																					3507_submitter_file2__Image-5-_and_-Closeup.jpg	web site, website, internet site, site	a black and white photo of a clock tower .
																					3507_submitter_file3__Map.jpg	envelope	a clock with a bunch of birds on it
																					3510_submitter_file1__UFO.jpg		
																					3541_submitter_file1__TrabucoCanyonCA.jpg	valley, vale	a group of boats floating on top of a river .
																					3559_submitter_file1__Original.JPG	crane	a kite flying in the sky over a city .
																					3560_submitter_file1__P1010005a.jpg	pole	a street sign on a pole with a sky background
																					3581_submitter_file1__ufo.jpg	switch, electric switch, electrical switch	a computer mouse sitting on top of a table .
																					3588_submitter_file1__DSCF0017.JPG	flagpole, flagstaff	a group of people flying kites in a park .
																					3594_submitter_file1__BealsLot3y.JPG	limousine, limo	a white van parked in front of a large building .
																					3594_submitter_file2__PICT0001x.jpg	barrel, cask	a red truck is parked in a field
																					3595_submitter_file1__170_7039.JPG	hook, claw	a street light with a building in the background
																					3623_submitter_file1__July1520051stsecond.JPG	shopping cart	a surfboard is on the beach near the water .
																					3623_submitter_file2__July1520053second.JPG	geyser	a person is riding a surfboard in the water .
																					3625_submitter_file1__FlahertyUFO.jpg	envelope	a black and white photo of a street sign .
																					3625_submitter_file2__Flahertysunset.jpg	lakeside, lakeshore	a person is flying a kite on the beach .
																					3625_submitter_file3__Flahertyfish.JPG	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch	a man is sitting on a boat in the water .
																					3625_submitter_file4__Flahertyboat.jpg	dock, dockage, docking facility	a small boat in a body of water
																					3625_submitter_file5__Flahertyanom.jpg	jellyfish	a mirror with a reflection of a man in it .
																					3707_submitter_file1__Sketch.jpg	envelope	a pair of scissors sitting on top of a table .
																					3736_submitter_file1__Photo001.jpg	kite	a kite flying in the sky over a tree .
																					3736_submitter_file2__Photo002.jpg	balloon	a kite flying in the sky over a tree .
																					3739_submitter_file1__100_0374.JPG	pug, pug-dog	a dog laying on a couch with a stuffed animal .
																					3768_submitter_file1__UFO.JPG	castle	a large building with a clock tower in the middle of it .
																					3771_submitter_file1__White.JPG	lakeside, lakeshore	a bird flying in the sky over a tree .
																					3786_submitter_file1__copy.jpg	aircraft carrier, carrier, flattop, attack aircraft carrier	a boat sailing on top of a body of water .
																					3788_submitter_file1__IMG_0034.JPG	parachute, chute	a kite flying high in the sky with a sky background
																					3790_submitter_file1__jaw-triangular.jpg	candle, taper, wax light	a person 's feet are seen in the mirror .
																					3794_submitter_file1__mookiniheiau08312005.jpg	cliff, drop, drop-off	a field of grass with a large mountain in the background .
																					3818_submitter_file1__h_triangle_schematic_02.jpg	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system	a computer mouse sitting on top of a desk .
																					3822_submitter_file1__tboltufo.jpg	balloon	a colorful kite flying in a blue sky .
																					3851_submitter_file1__MUFON-US-09142005-0003.JPG	chain	a person is holding a clock on a table
																					3932_submitter_file1__lastscan.jpg	syringe	a person holding a pair of skis in the air .
																					3935_submitter_file1__lake1.jpg	lakeside, lakeshore	a park bench overlooking a body of water .
																					3935_submitter_file2__lake2.jpg	lakeside, lakeshore	a bird flying over a body of water .
																					3938_submitter_file1__P9160028.JPG	flagpole, flagstaff	a large boat is sailing in the water
																					3942_submitter_file1__Scotland_254.jpg	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin	a park bench in the middle of a park .
																					3954_submitter_file1__Unexplainedsighting.jpg	bikini, two-piece	a woman in a wet suit carrying a surfboard .
																					3977_submitter_file1__ufodesign1.JPG	jellyfish	a plane flying over a snowy mountain with a sky background
																					3977_submitter_file2__ufo_2design.JPG	jellyfish	a plane flying over a mountain with a sky background
																					3977_submitter_file3__ufolightsA.JPG	ant, emmet, pismire	a group of people flying kites in the sky .
																					3991_submitter_file1__1st-sighting.png	matchstick	a pair of scissors sitting on top of a table .
																					3991_submitter_file2__2nd-sighting.png	web site, website, internet site, site	a pair of scissors and a pair of scissors .
																					5059_submitter_file1__ring.jpeg	nematode, nematode worm, roundworm	an airplane flying in the sky with a sky background
																					5059_submitter_file2__formation.jpeg	nematode, nematode worm, roundworm	a bird flying over a body of water .
																					5059_submitter_file3__triangleformation.jpeg	balloon	a bird flying in the air over a body of water .
																					5061_submitter_file1__145.jpg	parachute, chute	a plane flying in the sky with a sky background
																					5081_submitter_file1__JC07142006sphere.jpg	binder, ring-binder	a person holding a pair of scissors in their hands .
																					5082_submitter_file1__7.15.063.JPG	parachute, chute	a kite flying in the sky with a sky background
